type,latitude,longitude,lease_type,gym,lift,swimming_pool,furnishing,parking,property_size,bathroom,facing,cup_board,floor,total_floor,water_supply,balconies,true_count,predicted_rent
2.0,12.94160313,77.56815588,FAMILY,0,1,0,1.0,BOTH,1300,2,N,2,3,3,CORP_BORE,1,4,24741.666666666668
2.0,12.99880262,77.56188704,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,S,2,0,3,CORPORATION,0,4,12314.166666666666
1.0,12.96646692,77.66106338,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,S,1,0,1,CORPORATION,0,5,11678.75
1.0,12.94153349,77.59260601,ANYONE,0,0,0,0.0,TWO_WHEELER,500,1,E,0,2,2,CORP_BORE,0,2,10200.0
3.0,12.97108269,77.75162506,ANYONE,1,1,1,1.0,BOTH,1400,3,E,3,3,4,BOREWELL,1,15,25133.333333333332
3.0,12.90538361,77.55611936,FAMILY,0,0,0,1.0,TWO_WHEELER,1200,2,E,3,1,2,CORPORATION,1,1,18300.0
2.0,12.92773813,77.67285803,ANYONE,0,1,0,2.0,BOTH,1050,2,E,3,2,4,CORPORATION,0,10,25229.166666666668
2.0,12.93095071,77.55422796,ANYONE,0,0,0,0.0,BOTH,1300,1,N,0,1,1,CORPORATION,1,1,15168.333333333334
2.0,12.97116215,77.65013818,FAMILY,0,1,0,1.0,BOTH,1100,2,N,2,2,4,CORPORATION,2,5,26450.0
2.0,12.9487883,77.5974688,ANYONE,0,0,0,1.0,BOTH,650,1,S,2,1,2,CORPORATION,1,4,15225.0
2.0,12.91190197,77.54517776,FAMILY,0,0,0,1.0,BOTH,1100,2,W,2,0,0,CORPORATION,1,3,13526.666666666666
3.0,12.9680249,77.7306492,ANYONE,1,1,1,1.0,BOTH,1305,3,E,3,0,3,BOREWELL,1,8,26791.666666666668
2.0,12.96132755,77.67292023,ANYONE,0,0,0,1.0,BOTH,950,2,E,2,0,3,CORPORATION,0,1,16337.5
2.0,12.9071497,77.6760381,FAMILY,1,1,1,1.0,FOUR_WHEELER,1200,2,E,5,0,10,CORP_BORE,3,14,25765.0
1.0,12.91094653,77.62934101,BACHELOR,0,0,0,1.0,TWO_WHEELER,410,1,E,1,1,2,CORPORATION,0,3,10768.333333333334
2.0,12.97431867,77.67055575,FAMILY,0,0,0,1.0,TWO_WHEELER,729,1,E,2,0,1,CORP_BORE,0,0,12800.833333333334
1.0,12.90017723,77.59483599,FAMILY,0,1,0,1.0,TWO_WHEELER,450,1,W,1,0,4,CORPORATION,0,5,12300.0
2.0,12.92777925,77.55609384,ANYONE,0,0,0,1.0,BOTH,700,1,E,2,2,2,CORP_BORE,0,4,13695.833333333334
2.0,12.984311,77.74433,FAMILY,1,1,1,1.0,BOTH,1301,2,W,4,2,3,CORP_BORE,2,15,23537.5
2.0,12.91352938,77.60942887,ANYONE,0,0,0,1.0,BOTH,1500,2,W,2,0,2,CORPORATION,0,5,24720.833333333332
2.0,12.908728,77.6460714,FAMILY,0,0,0,1.0,BOTH,1800,2,N,8,0,2,CORPORATION,0,1,26756.25
2.0,12.95023035,77.70932536,ANYONE,0,0,0,1.0,TWO_WHEELER,750,1,N,2,1,2,CORP_BORE,1,1,14260.833333333334
1.0,12.91944007,77.63759032,ANYONE,0,0,0,1.0,BOTH,450,1,N,1,4,4,CORP_BORE,1,1,13507.5
2.0,12.9773851,77.62619928,FAMILY,0,0,0,1.0,BOTH,800,2,E,2,1,3,CORPORATION,2,5,18441.25
1.0,12.90690792,77.6088327,ANYONE,0,0,0,1.0,TWO_WHEELER,400,1,N,1,0,3,CORP_BORE,0,5,9878.333333333334
2.0,12.90708356,77.54587356,FAMILY,0,0,0,1.0,BOTH,1350,2,W,3,2,3,CORP_BORE,2,7,14016.666666666666
2.0,12.90563366,77.67532599,FAMILY,0,0,0,1.0,BOTH,1200,2,E,4,1,2,BOREWELL,0,1,18106.666666666668
2.0,12.9236751,77.5049535,ANYONE,1,1,1,1.0,BOTH,1260,2,E,2,0,5,CORP_BORE,2,6,15115.0
0.0,12.95887624,77.59464814,ANYONE,0,0,0,1.0,TWO_WHEELER,300,1,E,1,2,3,CORPORATION,1,1,9382.916666666666
3.0,12.9498848,77.7182918,ANYONE,1,1,1,1.0,BOTH,1450,3,N,3,0,3,BOREWELL,3,13,25837.5
3.0,12.9659766,77.7549089,ANYONE,1,1,1,1.0,BOTH,1500,3,E,4,1,4,CORP_BORE,3,8,23754.166666666668
2.0,12.96744084,77.67286412,FAMILY,0,0,0,1.0,TWO_WHEELER,850,1,N,2,0,2,CORP_BORE,0,3,13715.833333333334
