,No_Of_Rooms,locality,lease_type,gym,lift,swimming_pool,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,true_count
1,BHK2,Bellandur,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1400,4.0,2.0,NE,2.0,3.0,4.0,CORPORATION,AP,2.0,22000.0,8
2,BHK3,Thiruvanmiyur,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1350,6.0,3.0,E,3.0,1.0,5.0,CORP_BORE,AP,3.0,28000.0,6
3,BHK1,Attiguppe,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,3.0,1.0,E,1.0,1.0,2.0,CORPORATION,IH,0.0,8000.0,0
4,BHK3,Kodihalli,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1500,15.0,3.0,E,4.0,0.0,0.0,CORPORATION,IH,1.0,45000.0,3
5,BHK1,"Seetharampalya,Hoodi",FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1080,0.0,2.0,E,1.0,3.0,5.0,CORP_BORE,AP,2.0,18000.0,8
6,BHK3,"Narayanappa Garden,Whitefield",ANYONE,1,1,1,1,FULLY_FURNISHED,BOTH,1895,5.0,3.0,NE,5.0,3.0,9.0,CORPORATION,AP,3.0,32000.0,18
7,BHK2,HSR Layout 5th Sector,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1000,10.0,2.0,S,2.0,0.0,2.0,CORP_BORE,IH,0.0,22000.0,3
8,BHK2,Banashankari,ANYONE,0,0,0,0,SEMI_FURNISHED,NONE,900,10.0,2.0,S,2.0,0.0,1.0,CORPORATION,IH,0.0,10000.0,4
9,BHK2,Whitefield,ANYONE,1,1,0,1,SEMI_FURNISHED,BOTH,1290,4.0,2.0,E,4.0,2.0,4.0,CORP_BORE,AP,2.0,19500.0,13
10,BHK2,RR Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1200,2.0,2.0,E,4.0,1.0,2.0,CORPORATION,IF,1.0,12500.0,0
11,BHK2,ITPL Residential Flats,ANYONE,1,1,0,1,FULLY_FURNISHED,FOUR_WHEELER,1300,8.0,2.0,N,2.0,1.0,4.0,CORPORATION,AP,2.0,32000.0,13
12,BHK2,Raja Rajeshwari Nagar,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,930,7.0,2.0,E,2.0,1.0,4.0,CORPORATION,AP,1.0,11000.0,11
13,BHK2,"Prestige Shanthinikethan, Bengaluru, Karnataka, India",FAMILY,1,1,1,0,SEMI_FURNISHED,FOUR_WHEELER,1418,4.0,2.0,E,2.0,11.0,14.0,CORP_BORE,AP,2.0,32500.0,12
14,BHK1,Murugeshpalya,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,10.0,1.0,E,1.0,2.0,2.0,CORPORATION,IH,0.0,12000.0,3
15,BHK2,Sheshadripuram,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,1200,2.0,1.0,E,0.0,1.0,3.0,CORP_BORE,IF,1.0,15000.0,2
16,BHK3,Cox Town,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,1200,3.0,2.0,E,2.0,1.0,3.0,CORPORATION,IH,2.0,18500.0,5
17,BHK3,BTM 2nd Stage,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,E,0.0,1.0,2.0,CORPORATION,IF,1.0,21000.0,0
18,BHK2,Chikkakannalli,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,1020,0.0,2.0,SE,2.0,4.0,15.0,CORPORATION,AP,2.0,22000.0,15
19,BHK2,agara,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1084,10.0,2.0,E,2.0,0.0,4.0,CORPORATION,AP,3.0,24000.0,8
20,BHK2,Doddanekkundi,FAMILY,1,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,1285,3.0,2.0,W,2.0,0.0,5.0,BOREWELL,AP,0.0,27000.0,12
21,BHK2,Munnekollal,ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,600,1.0,1.0,E,2.0,2.0,2.0,CORPORATION,IF,1.0,14000.0,1
22,BHK1,"Hoodi Railway Station, 1, Sadaramangala Road, Kodigehalli, Krishnarajapura, Bengaluru, Karnataka 560036, India",ANYONE,0,0,0,1,NOT_FURNISHED,BOTH,800,1.0,1.0,W,0.0,0.0,4.0,CORP_BORE,AP,1.0,12000.0,8
23,BHK3,"Garudachar Palya,Mahadevapura",FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1610,8.0,2.0,E,6.0,2.0,19.0,CORP_BORE,AP,3.0,36000.0,16
24,BHK2,Bommanahalli,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1100,10.0,2.0,N,2.0,1.0,2.0,CORP_BORE,IF,1.0,15000.0,3
25,BHK2,Hoodi,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1200,10.0,2.0,E,2.0,0.0,1.0,CORP_BORE,IF,0.0,20000.0,0
26,BHK2,Mahadevapura,ANYONE,0,1,0,0,SEMI_FURNISHED,BOTH,800,3.0,2.0,E,1.0,3.0,3.0,CORP_BORE,AP,0.0,16000.0,13
27,BHK2,Viveka Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,NONE,800,12.0,1.0,E,2.0,0.0,0.0,CORPORATION,IF,0.0,10000.0,3
28,BHK2,"Kadubeesanahalli,",FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1484,1.0,2.0,N,1.0,1.0,4.0,CORPORATION,AP,1.0,22000.0,15
29,BHK2,Sanjeevini Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,NONE,500,10.0,1.0,N,2.0,2.0,2.0,CORP_BORE,IF,0.0,9000.0,0
30,BHK2,Doddanekundi,ANYONE,0,1,0,0,SEMI_FURNISHED,BOTH,1200,5.0,2.0,W,2.0,2.0,4.0,CORPORATION,AP,1.0,19500.0,6
31,BHK2,Whitefield,ANYONE,0,1,0,0,FULLY_FURNISHED,BOTH,1300,8.0,2.0,S,2.0,1.0,1.0,CORPORATION,IH,2.0,25000.0,3
32,RK1,Indiranagar,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,250,10.0,1.0,E,1.0,0.0,2.0,CORPORATION,IF,0.0,11000.0,4
33,BHK3,Mahadevapura,ANYONE,1,1,1,1,FULLY_FURNISHED,BOTH,1860,5.0,3.0,NE,5.0,14.0,20.0,CORPORATION,AP,3.0,48000.0,17
34,RK1,Brookefield,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,250,0.0,1.0,N,1.0,3.0,3.0,CORPORATION,IF,0.0,9000.0,3
35,BHK2,New Tippasandra,ANYONE,0,0,0,0,SEMI_FURNISHED,BOTH,972,0.0,2.0,E,5.0,2.0,3.0,CORPORATION,AP,3.0,31000.0,3
36,BHK3,JP Nagar 1st Phase,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1050,15.0,2.0,E,4.0,1.0,2.0,BOREWELL,AP,1.0,20000.0,2
37,BHK2,Vimanapura,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,850,1.0,2.0,N,2.0,2.0,2.0,CORPORATION,IF,1.0,19000.0,3
38,BHK2,Jayanagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1050,10.0,1.0,E,3.0,2.0,3.0,CORP_BORE,IF,0.0,16000.0,2
39,BHK2,Uttarahalli Hobli,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1175,0.0,2.0,N,3.0,4.0,5.0,CORP_BORE,AP,2.0,20000.0,14
40,BHK3,Kaikondrahalli,ANYONE,1,1,1,1,FULLY_FURNISHED,BOTH,1876,1.0,3.0,N,5.0,3.0,9.0,CORPORATION,AP,4.0,50000.0,8
41,BHK2,Kaggadasapura,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,750,5.0,1.0,E,2.0,0.0,0.0,CORPORATION,IH,0.0,12000.0,2
42,BHK2,Adugodi,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,12.0,1.0,N,2.0,2.0,2.0,CORP_BORE,IF,1.0,15000.0,4
43,BHK3,Jayanagar 5th Block,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,N,4.0,1.0,1.0,BOREWELL,IF,1.0,30000.0,4
44,BHK2,Hanumantha Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,900,7.0,2.0,S,3.0,0.0,1.0,CORPORATION,IF,0.0,18000.0,2
45,BHK2,Basaveshwar Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1100,9.0,2.0,N,5.0,3.0,3.0,CORP_BORE,IF,1.0,14000.0,1
46,BHK2,Kasavanahalli,FAMILY,0,1,0,0,SEMI_FURNISHED,FOUR_WHEELER,1230,0.0,2.0,E,2.0,2.0,3.0,BOREWELL,AP,2.0,21000.0,15
47,BHK3,Thirumalashettyhally,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1435,0.0,2.0,E,4.0,0.0,4.0,CORPORATION,AP,3.0,20000.0,13
48,BHK1,BTM Layout,FAMILY,0,0,0,0,NOT_FURNISHED,TWO_WHEELER,400,10.0,1.0,E,0.0,0.0,1.0,CORP_BORE,IF,0.0,10000.0,0
49,BHK2,Chikkalasandra,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,1.0,2.0,CORP_BORE,IF,0.0,12500.0,1
50,BHK3,"Yelachenahallli, Bengaluru, Karnataka, India",ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1360,2.0,3.0,E,3.0,2.0,3.0,CORP_BORE,AP,1.0,17000.0,2
51,RK1,Indiranagar,BACHELOR,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,120,5.0,1.0,SE,1.0,3.0,3.0,CORP_BORE,IF,0.0,8000.0,2
52,BHK1,Wilson Garden,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,650,10.0,1.0,E,1.0,1.0,3.0,CORP_BORE,IF,1.0,9000.0,1
53,BHK2,Gattigere,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,2.0,1.0,3.0,CORP_BORE,IF,0.0,13500.0,0
54,BHK2,Ejipura,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1172,16.0,2.0,E,2.0,0.0,4.0,CORP_BORE,AP,1.0,35000.0,11
55,BHK1,Vijaya Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,225,8.0,1.0,E,1.0,2.0,2.0,CORPORATION,IF,1.0,8400.0,4
56,BHK2,Whitefield,FAMILY,1,1,0,0,SEMI_FURNISHED,BOTH,1100,4.0,2.0,N,2.0,4.0,4.0,BOREWELL,AP,2.0,17000.0,6
57,BHK2,Byrasandra,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1200,4.0,2.0,N,2.0,0.0,0.0,CORPORATION,IH,0.0,15000.0,1
58,BHK3,Kadugodi,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1500,3.0,3.0,E,4.0,1.0,2.0,CORP_BORE,IF,2.0,23000.0,3
59,BHK2,BTM 2nd Stage,ANYONE,0,1,0,1,FULLY_FURNISHED,BOTH,1250,5.0,2.0,E,3.0,1.0,4.0,CORP_BORE,AP,1.0,21000.0,5
60,BHK2,Vignana Nagar,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1440,7.0,2.0,W,6.0,5.0,5.0,CORP_BORE,AP,3.0,24000.0,10
61,BHK2,Tippasandra,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,E,1.0,2.0,2.0,CORPORATION,IF,1.0,13000.0,0
62,BHK2,Bellandur,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1465,8.0,2.0,E,2.0,5.0,9.0,BOREWELL,AP,2.0,32000.0,15
63,BHK2,Sheshadripuram,FAMILY,0,1,0,0,FULLY_FURNISHED,TWO_WHEELER,900,5.0,2.0,NE,3.0,2.0,3.0,CORP_BORE,AP,2.0,22000.0,12
64,BHK3,Cox Town,FAMILY,0,1,0,1,NOT_FURNISHED,BOTH,1500,1.0,3.0,S,0.0,2.0,2.0,CORPORATION,AP,4.0,30000.0,3
65,BHK3,Doddanakundi,ANYONE,0,1,1,0,SEMI_FURNISHED,BOTH,2250,12.0,2.0,E,2.0,5.0,5.0,CORP_BORE,IF,3.0,42000.0,6
66,BHK3,Banashankari,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1900,10.0,2.0,E,2.0,0.0,2.0,CORP_BORE,IF,2.0,33000.0,2
67,BHK2,J P Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,E,1.0,2.0,2.0,CORPORATION,IF,0.0,10000.0,3
69,BHK2,Whitefield,FAMILY,1,1,1,0,SEMI_FURNISHED,BOTH,1348,2.0,2.0,E,2.0,1.0,5.0,BOREWELL,AP,2.0,26000.0,17
70,BHK1,Kodihalli,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,W,1.0,0.0,2.0,CORP_BORE,IF,2.0,16000.0,1
71,RK1,Kodihalli,FAMILY,0,0,0,0,FULLY_FURNISHED,NONE,200,1.0,1.0,W,1.0,4.0,5.0,BOREWELL,AP,1.0,10000.0,1
72,BHK1,Shivananda Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,E,1.0,1.0,1.0,CORPORATION,IF,1.0,9000.0,1
73,BHK1,Marathahalli,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,400,0.0,1.0,N,1.0,2.0,4.0,CORP_BORE,IF,0.0,10000.0,3
74,BHK1,Prashant Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,1.0,1.0,E,1.0,1.0,4.0,CORPORATION,IH,1.0,9500.0,3
75,BHK1,Kasavanahalli,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,800,3.0,1.0,N,3.0,2.0,3.0,CORP_BORE,IF,1.0,9500.0,2
76,BHK2,HSR Layout,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1150,1.0,2.0,E,1.0,0.0,2.0,BOREWELL,IF,0.0,16000.0,3
77,BHK2,Whitefield,FAMILY,1,1,0,1,FULLY_FURNISHED,BOTH,1194,1.0,2.0,E,3.0,4.0,4.0,CORP_BORE,AP,2.0,26000.0,11
78,BHK2,Marathahalli,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1500,5.0,2.0,E,1.0,2.0,4.0,CORPORATION,IF,4.0,16000.0,2
79,BHK3,Dooravani Nagar,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1590,1.0,3.0,W,10.0,4.0,10.0,CORP_BORE,AP,1.0,40000.0,11
80,BHK1,Koramangala,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,450,5.0,1.0,E,1.0,0.0,2.0,CORPORATION,IF,0.0,14000.0,1
81,BHK3,"Laxmi Sagar Layout,Mahadevapura",FAMILY,1,1,1,1,FULLY_FURNISHED,BOTH,1431,5.0,2.0,N,2.0,9.0,14.0,CORP_BORE,AP,2.0,38000.0,15
82,BHK1,HSR Layout,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,448,5.0,1.0,N,1.0,3.0,3.0,CORPORATION,IF,0.0,14000.0,3
83,BHK2,Raja Rajeshwari Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,1250,5.0,2.0,N,2.0,1.0,2.0,CORPORATION,IF,1.0,10500.0,1
84,BHK2,"Pulkeshi Nagar,Pulikeshi Nagar",ANYONE,0,1,0,1,SEMI_FURNISHED,TWO_WHEELER,1250,20.0,2.0,W,2.0,1.0,5.0,CORP_BORE,AP,3.0,23000.0,5
85,BHK2,Jayanagar,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,750,25.0,2.0,N,4.0,0.0,5.0,CORPORATION,AP,1.0,23000.0,6
86,BHK2,Domlur,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,5.0,2.0,E,4.0,1.0,2.0,CORPORATION,IF,1.0,20000.0,1
87,BHK1,RR Nagar,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,550,0.0,1.0,E,1.0,4.0,4.0,CORP_BORE,IF,1.0,9000.0,2
88,BHK3,HSR Layout,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,2100,8.0,3.0,E,3.0,1.0,2.0,CORP_BORE,IF,1.0,40000.0,4
89,BHK1,Srirampura,FAMILY,0,0,0,1,SEMI_FURNISHED,NONE,450,0.0,1.0,E,1.0,0.0,2.0,CORPORATION,IH,1.0,8000.0,2
90,BHK2,Chikkalasandra,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1500,16.0,2.0,E,1.0,1.0,2.0,CORP_BORE,IF,0.0,9500.0,0
91,BHK2,Basaveshwar Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,2.0,2.0,CORP_BORE,IF,1.0,14000.0,1
92,BHK1,Sudhama Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,700,1.0,1.0,S,1.0,2.0,2.0,CORP_BORE,IF,1.0,12000.0,4
93,BHK1,Kadugodi,FAMILY,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,750,0.0,1.0,N,1.0,0.0,3.0,CORP_BORE,IH,1.0,8000.0,3
94,BHK2,Nagondanahalli,FAMILY,1,1,1,1,SEMI_FURNISHED,FOUR_WHEELER,1175,1.0,2.0,N,2.0,3.0,3.0,BOREWELL,AP,1.0,17000.0,13
95,BHK2,Bommanahalli,FAMILY,0,1,1,1,SEMI_FURNISHED,BOTH,1251,3.0,2.0,E,2.0,3.0,5.0,BOREWELL,AP,3.0,20000.0,14
96,BHK2,BTM Layout,FAMILY,0,1,0,0,SEMI_FURNISHED,TWO_WHEELER,1000,1.0,2.0,E,2.0,1.0,8.0,CORPORATION,AP,1.0,18000.0,2
